date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:45:55	1329/1329	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Jul%202021%2017:15:24%20GMT	https://dxsale.app/robots.txt		(from )
20:45:55	3982/3982	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Jul%202021%2017:15:24%20GMT	https://dxsale.app/app/	C:/Users/Pete/Desktop/DX/dxsale.app/app/index.html	(from )
20:45:56	3982/3982	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Jul%202021%2017:15:24%20GMT	https://dxsale.app/favicons/apple-icon-57x57.png	C:/Users/Pete/Desktop/DX/dxsale.app/favicons/apple-icon-57x57.html	(from https://dxsale.app/app/)
20:45:57	3982/3982	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Jul%202021%2017:15:24%20GMT	https://dxsale.app/favicons/apple-icon-60x60.png	C:/Users/Pete/Desktop/DX/dxsale.app/favicons/apple-icon-60x60.html	(from https://dxsale.app/app/)
20:45:58	3982/3982	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Jul%202021%2017:15:24%20GMT	https://dxsale.app/favicons/apple-icon-72x72.png	C:/Users/Pete/Desktop/DX/dxsale.app/favicons/apple-icon-72x72.html	(from https://dxsale.app/app/)
20:45:59	3982/3982	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Jul%202021%2017:15:24%20GMT	https://dxsale.app/favicons/apple-icon-76x76.png	C:/Users/Pete/Desktop/DX/dxsale.app/favicons/apple-icon-76x76.html	(from https://dxsale.app/app/)
20:45:59	3982/3982	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Jul%202021%2017:15:24%20GMT	https://dxsale.app/favicons/apple-icon-114x114.png	C:/Users/Pete/Desktop/DX/dxsale.app/favicons/apple-icon-114x114.html	(from https://dxsale.app/app/)
20:46:00	3982/3982	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Jul%202021%2017:15:24%20GMT	https://dxsale.app/favicons/apple-icon-120x120.png	C:/Users/Pete/Desktop/DX/dxsale.app/favicons/apple-icon-120x120.html	(from https://dxsale.app/app/)
20:46:01	3982/3982	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Jul%202021%2017:15:24%20GMT	https://dxsale.app/favicons/apple-icon-144x144.png	C:/Users/Pete/Desktop/DX/dxsale.app/favicons/apple-icon-144x144.html	(from https://dxsale.app/app/)
20:46:02	3982/3982	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Jul%202021%2017:15:24%20GMT	https://dxsale.app/favicons/apple-icon-152x152.png	C:/Users/Pete/Desktop/DX/dxsale.app/favicons/apple-icon-152x152.html	(from https://dxsale.app/app/)
